法人・施設名,住所,アクセス,仕事内容,サービス形態,給与,給与の備考,待遇,勤務時間,休日,長期休暇/特別休暇,url
社会福祉法人あゆみの会鶴ケ岡すまいる保育園,埼玉県ふじみ野市鶴ケ岡３ー１９−８０,"埼玉県ふじみ野市鶴ケ岡３ー１９−８０
東武東上線 上福岡駅から徒歩で17分","園長としてご活躍いただきます。
かかわる、つながる、おもしろがるを大切にしています。
子ども自身の「やってみたい」「なんだろう」という興味関心を引き出して、自ら取り組める環境づくりを意識しています。
子どもたちの主体性を育む保育方針の実現に向け、職員の主体性や個性も尊重。
保育園は「第二のお家」ではなく暮らしそのものだと考えます。保育園での暮らしを働く仲間と共に、コミュニケーションを重ねながら子どもを真ん中にとらえ、それぞれの持ち味が生かせる保育園の運営をお願いいたします。
■検索コード…「保育」",,"月給 350,000円 〜 450,000円",,"通勤手当：月額 40,000円 40000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",応相談 休憩60分 時間外勤務：なし ,年間休日数 108日,,https://job-medley.com/cw/hw/5812891/
さくらグループ株式会社広島支店,広島県広島市南区的場町１丁目７－１０ニューライフ広島１Ｆ,"広島県広島市南区的場町１丁目７－１０ニューライフ広島１Ｆ
広電１号線(宇品線) 的場町駅から徒歩で0分
広電２号線(宮島線) 的場町駅から徒歩で0分
広電５号線(皆実線) 的場町駅から徒歩で0分","広島市認可保育園（小規模保育事業）での園長業務定員数
１９名就業時間はシフトにより月１６０時間～１７７時間に調整（１）～（３）以外の時間帯のシフトもあり",,"月給 315,000円 〜 353,000円",,"通勤手当： 毎月 60,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時30分〜16時30分 (2)8時30分〜17時30分 (3)9時30分〜18時30分 １６０～１７７時間／月で調整 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5875985/"
ユニライズジャパン株式会社,大阪府東大阪市宝町１５－１０,"大阪府東大阪市宝町１５－１０
近鉄けいはんな線 新石切駅から徒歩で16分
近鉄奈良線 枚岡駅から徒歩で21分
近鉄けいはんな線 吉田駅から徒歩で24分",企業主導型保育園での保育及び、その他付随業務全般,,"月給 300,000円",,通勤手当： マイカー通勤可否：不可 昇給： 賞与：あり ,所定労働時間は、毎月１日を起算日とする１ヶ月単位の変形労働時間制を採用し、１ヶ月を平均して上記の始業・終業時間をもとに週４０時間以内のシフト制により定める。 休憩60分 時間外勤務：あり ,年間休日数 108日,,"
https://job-medley.com/cw/hw/5884562/"
社会福祉法人タイケン福祉会,東京都板橋区成増１−１２−１９,"東京都板橋区成増１−１２−１９
東京メトロ有楽町線 地下鉄成増駅から徒歩で4分
東京メトロ副都心線 地下鉄成増駅から徒歩で4分
東武東上線 成増駅から徒歩で7分","保育園（定員１９名：０〜２歳児）にて園長業務に就いていただきます。
＊園長業務全般
＊職員指導
＊保護者対応
＊行政対応
等
福祉会本部からのサポートもあるので、安心して働けます。",,"月給 300,000円 〜 322,000円",,"通勤手当：月額 30,000円 30000 マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)7時15分〜16時15分 (2)8時00分〜17時00分 (3)9時30分〜18時30分 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5870847/"
社会福祉法人タイケン福祉会,東京都板橋区成増１−１２−１９,"東京都板橋区成増１−１２−１９
東京メトロ有楽町線 地下鉄成増駅から徒歩で4分
東京メトロ副都心線 地下鉄成増駅から徒歩で4分
東武東上線 成増駅から徒歩で7分","保育園（定員１９名：０〜２歳児）にて園長業務に就いていただきます。
＊園長業務全般
＊職員指導
＊保護者対応
＊行政対応
等
福祉会本部からのサポートもあるので、安心して働けます。",,"月給 300,000円 〜 322,000円",,"通勤手当：月額 30,000円 30000 マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)7時15分〜16時15分 (2)8時00分〜17時00分 (3)9時30分〜18時30分 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5870845/"
株式会社ＤｒｅａｍｓＣｏｍｐａｎｙ,東京都立川市高松町２－６－１高松ビル１階,"東京都立川市高松町２－６－１高松ビル１階
多摩モノレール 高松駅から徒歩で13分
多摩モノレール 立川北駅から徒歩で12分
JR南武線 立川駅から徒歩で13分","＊企業主導型保育所として保育サービスを行っています。
最大１２名をお預かりする少人数制の保育園です。＊月極めのお子様の他、整骨院、エステサロンで施術中の方のお子
様や一般のお子様の一時保育も行っています。＊ご自身のお子様も保育所に空きがあれば入所可能です。",,"月給 300,000円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：なし ",休憩60分 時間外勤務：あり ,年間休日数 113日,,"
https://job-medley.com/cw/hw/5847150/"
株式会社ネプシス,埼玉県さいたま市見沼区丸ヶ崎１２２０,"埼玉県さいたま市見沼区丸ヶ崎１２２０
宇都宮線 東大宮駅から徒歩で24分",定員１９名の「企業主導型保育園」で主任保育士を募集します。保育業務全般、月案週案作成、園長サポートなど満１～５歳、２０１９年開園の綺麗な保育園認可外保育園だからこそできる家庭的で柔軟な対応ができる保育園を目指しています。保護者参加の行事なし／園だより作成なし／延長保育なし／車通勤可,,"月給 300,000円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時30分〜16時30分 (2)8時30分〜17時30分 土曜出勤月２回程度あり。その場合は振替休日あり。 休憩60分 時間外勤務：あり ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5713492/"
社会福祉法人みらいこどもみらい保育園野幌園,北海道江別市野幌屯田町４７番１２,"北海道江別市野幌屯田町４７番１２
JR函館本線(小樽～旭川) 野幌駅から徒歩で23分",○保育全般のマネジメント業務・保育運営の管理・園長補佐及び園長代理・保育士の指導及び管理・保護者対応・保育実習の対応・備品管理・その他保育業務の管理,,"月給 291,890円 〜 318,950円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時15分〜16時15分 (2)8時00分〜17時00分 (3)9時00分〜18時00分 休憩60分 時間外勤務：あり ,年間休日数 123日,,"
https://job-medley.com/cw/hw/5777827/"
合同会社ちびっこ,栃木県宇都宮市江曽島町１１８３−１,"栃木県宇都宮市江曽島町１１８３−１
東武宇都宮線 江曽島駅から徒歩で24分","★令和５年１１月開院の為オープニングスタッフ募集★
１０月〜宇都宮で研修を受けていただきます。
・インターパーク倉持内科
日本橋内の保育所にて保育業務のお仕事です。
・病児保育業務もお願いします。
・医師の診療補助（医療行為はございません）
・受付、会計などの窓口業務
事務作業
・清掃、環境保全
※保育だけでなく、医療業界に携わりたい方の応募お待ちしております。",,"月給 290,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)9時00分〜18時00分 １日６時間の時短勤務有り　応相談 休憩60分 時間外勤務：あり ,年間休日数 125日,,"
https://job-medley.com/cw/hw/5883016/"
株式会社ＮｅｘｔＥｄｇｅ,大阪府大阪市淀川区西中島１丁目９番２０号,"大阪府大阪市淀川区西中島１丁目９番２０号
阪急京都本線 南方駅から徒歩で3分
大阪メトロ御堂筋線 西中島南方駅から徒歩で5分
大阪メトロ御堂筋線 新大阪駅から徒歩で14分",・お子さんの遊びや食事・リハビリのサポート・課外活動・保護者様とのコニュニケーションなど,,"月給 290,000円 〜 340,000円",,"通勤手当： 日額 1,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)9時30分〜18時00分 休憩60分 時間外勤務：なし ,年間休日数 126日,,"
https://job-medley.com/cw/hw/5866987/"
