法人・施設名,住所,アクセス,仕事内容,サービス形態,給与,給与の備考,待遇,勤務時間,休日,長期休暇/特別休暇,url
長野市こども未来部保育・幼稚園課,長野県長野市大字鶴賀緑町１６１３長野市役所内,"長野県長野市大字鶴賀緑町１６１３長野市役所内
長野電鉄長野線 市役所前駅から徒歩で4分
長野電鉄長野線 権堂駅から徒歩で9分
長野電鉄長野線 長野駅から徒歩で12分","◎長野市内公立保育所・認定こども園において、
就学前児童（０～５歳児対象）の教育・保育を行って頂きます。※クラスは複数担任が主となっています。",,"月給 183,134円 〜 236,282円",,"通勤手当： 毎月 55,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時30分〜16時15分 (2)8時30分〜17時15分 (3)10時15分〜19時00分 就業時間（１）～（３）のように勤務開始時刻が１５分刻みで設定したシフト勤務です。（１日７時間４５分勤務） 休憩60分 時間外勤務：あり ,年間休日数 123日,,"
https://job-medley.com/cw/hw/5735949/"
社会福祉法人富山県社会福祉総合センター,富山県富山市下飯野３６番地,"富山県富山市下飯野３６番地
あいの風とやま鉄道線 東富山駅から車で6分",富山県リハビリテーション病院・こども支援センターのほか、当法人の運営する施設（高志ライフケアホーム）での障害児・者の保育など,,"月給 183,100円 〜 195,700円",,"通勤手当： 毎月 34,890円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時30分〜17時15分 配属先により早出・遅出、土日祝日勤務あり 休憩60分 時間外勤務：あり ,年間休日数 123日,,"
https://job-medley.com/cw/hw/5863215/"
医療法人社団どんぐり会那珂キッズクリニック小児科,茨城県那珂市竹ノ内３－２－２,"茨城県那珂市竹ノ内３－２－２
JR水郡線 中菅谷駅から徒歩で18分
JR水郡線 上菅谷駅から徒歩で19分","ＡＲＩＮＫＯＭＵＲＡ（保育園）の保育業務（生後８週～就業前の乳幼児、子供の保育で音楽制作、戸外遊び、
散歩、排泄など）",,"月給 183,000円 〜 250,000円",,通勤手当： マイカー通勤可否：可 昇給： 賞与：あり ,(1)6時45分〜16時00分 (2)8時00分〜17時00分 (3)9時00分〜18時00分 １日の所定労働時間を変更せず、始業、終業時間を上記以外に変更有 休憩60分 時間外勤務：あり ,年間休日数 125日,,"
https://job-medley.com/cw/hw/5897460/"
社会福祉法人大東若竹会若竹こども園,大阪府大東市深野５丁目７－２７,"大阪府大東市深野５丁目７－２７
学研都市線 野崎駅から徒歩で6分","◎担当保育教諭
０～５才児（合計１０９名）です。
いずれかのクラスの副担任をしていただきます。",,"月給 183,000円 〜 217,000円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜15時45分 (2)8時30分〜17時15分 (3)9時45分〜19時00分 シフト制※９月と２月は３～４時間／月程度残業があります。 休憩60分 時間外勤務：あり ,年間休日数 114日,,"
https://job-medley.com/cw/hw/5889307/"
社会福祉法人松江福祉会,島根県松江市千鳥町７０番地松江市総合福祉センター２階,"島根県松江市千鳥町７０番地松江市総合福祉センター２階
北松江線 松江しんじ湖温泉駅から徒歩で6分",０歳児から就学前の乳幼児について、１日の生活の流れを身につけると同時に、集団生活に慣れるための業務を行う。（正規職員の補助的な業務です。）,,"月給 183,000円 〜 198,000円",,"通勤手当： 毎月 21,500円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜15時45分 (2)8時30分〜17時15分 (3)10時15分〜19時00分 休憩60分 時間外勤務：あり ,年間休日数 122日,,"
https://job-medley.com/cw/hw/5889373/"
めいほ歯科医院,栃木県宇都宮市下荒針町３３８６－１１,"栃木県宇都宮市下荒針町３３８６－１１
JR日光線 鶴田駅から車で13分","◇歯科医院での受付業務（会計・予約・電話応対等）が主な仕事です
が、当院では治療中の患者様のお子様を当院キッズルームで預かる
サービスを行っています。そこで、保育士免許がある方とても助か
ります。＊詳細はお電話（診療日の１４時）もしくは面接時お伝えします。
初心者の方でも構いませんので奮ってご応募ください",,"月給 183,000円 〜 235,000円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)9時30分〜19時30分 (2)9時30分〜18時30分 (3)9時30分〜17時30分 ・シフト制（１）平日、（２）土曜日、（３）第２・４日曜日 休憩120分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5880235/"
社会福祉法人山香民生福祉会,大分県杵築市山香町大字内河野２６２９－２２,"大分県杵築市山香町大字内河野２６２９－２２
JR日豊本線(門司港～佐伯) 中山香駅から徒歩で8分","◆山香こども園での園児に対する教育・保育業務全般・食事やおやつのお世話・年間園行事のお手伝い・園内の清掃・園児の出迎え、お見送り・室内外での遊びの見守り・お昼寝の見守り
等※応募には、ハローワークの紹介状が必要です。",,"月給 183,000円",,"通勤手当： 毎月 10,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時30分〜17時30分 ＊実働８時間 休憩60分 時間外勤務：あり ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5881242/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃など）
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく
職員にとっての「心の基地」を目指しています♪
私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5879615/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃など）
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく
職員にとっての「心の基地」を目指しています♪
私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5879618/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃など）
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく
職員にとっての「心の基地」を目指しています♪
私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",※利用状況に応じて延長保育あり　（７：３０〜１９：００） 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5879614/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●企業内保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃など）
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく
職員にとっての「心の基地」を目指しています♪
私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5879619/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃など）
●小規模保育園
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく
職員にとっての「心の基地」を目指しています♪
私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5877160/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃など）
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく
職員にとっての「心の基地」を目指しています♪
私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",※夜間保育あり（１８：００〜翌８：００） 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5877166/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃など）
●小規模保育園
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく
職員にとっての「心の基地」を目指しています♪
私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",夜間保育：２０：００〜翌７：３０　　※週１回実施 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5868875/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃など）
●小規模保育園
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく
職員にとっての「心の基地」を目指しています♪
私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5868870/"
