storename,address_original,address_normalize[0],address_normalize[1],?????,url,?????,????,????,????????,??????????,????????,????????,??????,???????????,????,?????,????(??|??|???),?????(??|??|???),????(??|??|???),?????(??|??|???),???1????????,??,??,page,???
???????????,??????550-4,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000129,na,???? ??? ??? ????,?? ??,['?????????'],['?????'],na,na,"['????', '?????????????', '????????', '??????????????']",na,na,na,1|1|-,na,na,8.5|5|3.5,54,na,na,1,
???? ??? ????????,??????559-4,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000009,na,?? ??,?? ??,na,na,na,na,"['????', '?????????????']",na,na,na,1|1|-,na,na,na,2.2,na,na,1,
????????,?????1-22-6,na,na,6/30/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000044,na,?? ??,?? ??,"['?????????', '?????????', '????????????(????)?????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????', '?????????', '?????????????', '??????????????', '??????', '????????????']",na,"['??(?????????????????)', '??????', '????????']","['??????', '???????', '??????????????', '?????????????', '??????']",1|1|-,na,na,5|2|3,18,na,na,1,
??????,?????2-3-8,na,na,10/28/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000125,na,?? ?,?? ?,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '??????????????']",na,"['??(?????????????????)', '??????', '????????', '??????????????????????']","['??????', '???????', '??????????????', '??????']",2|2|-,na,na,2.5|2|0.5,40.6,na,na,1,
??????,?????1-1-17,na,na,6/22/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000089,na,????,????,['?????????'],na,na,na,['??????????????'],na,na,"['??????', '??????']",2|1|1,na,na,1|-|1,2,na,na,1,
???? ??? ??????,?????6-2-10 ????3F,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000049,na,?? ??,?? ??,['?????????'],"['?????', '??????']",na,na,"['????', '?????????????', '??????????????', '????????????']",na,na,"['??????', '???????', '??????']",1|1|-,na,na,na,13,na,na,1,
????????????????????,????????2?14? ???????1? 102??,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000641,na,????????? ??? ?? ???,?? ??,['?????????'],na,na,na,"['????', '????????', '??????????????']",na,"['??????', '????????']",['??????'],3.5|2|1.5,na,na,2.6|-|2.6,9.2,na,na,1,
??????,???????551 ????2F,na,na,6/5/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000106,na,?? ??,?? ??,"['?????????', '????????????(????)?????']",na,na,na,"['????', '??????????????']",na,['??????'],"['??????', '???????']",1|1|-,na,na,3|1|2,15,na,na,1,
??????,???????260-5,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000059,na,???,???,"['?????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????']",na,"['??(????????)', '??????']",['??????'],1|1|-,na,na,1.5|-|3,18.3,na,na,1,
??????,?????2-9-12 ??????????2?,na,na,9/25/2014,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000620,na,????,????,"['?????????', '?????????']","['?????', '??????']",na,na,"['?????????????', '????????', '??????????????']",na,na,na,1|1|-,na,na,3|2|1,na,na,na,1,
